# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2642812	2644227	-					gltX	7154407	ECIAI39_2546	1416		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2642812	2644227	-	YP_002408496.1	WP_000695662.1		glutamyl-tRNA synthetase	gltX	7154407	ECIAI39_2546	1416	471	
gene	tRNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644486	2644561	+						7151557	ECIAI39_tRNA19	76		
tRNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644486	2644561	+				tRNA-Val		7151557	ECIAI39_tRNA19	76		
gene	tRNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644606	2644681	+						7150561	ECIAI39_tRNA20	76		
tRNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644606	2644681	+				tRNA-Val		7150561	ECIAI39_tRNA20	76		
gene	tRNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644726	2644801	+						7150563	ECIAI39_tRNA21	76		
tRNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644726	2644801	+				tRNA-Val		7150563	ECIAI39_tRNA21	76		
gene	tRNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644847	2644922	+						7150564	ECIAI39_tRNA22	76		
tRNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644847	2644922	+				tRNA-Val		7150564	ECIAI39_tRNA22	76		
gene	tRNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644927	2645002	+						7150565	ECIAI39_tRNA23	76		
tRNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2644927	2645002	+				tRNA-Lys		7150565	ECIAI39_tRNA23	76		
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2645054	2645938	-					xapR	7150566	ECIAI39_2547	885		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2645054	2645938	-	YP_002408497.1	WP_000446236.1		DNA-binding transcriptional activator XapR	xapR	7150566	ECIAI39_2547	885	294	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2646013	2647269	-					xapB	7153174	ECIAI39_2548	1257		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2646013	2647269	-	YP_002408498.1	WP_001017569.1		xanthosine transporter	xapB	7153174	ECIAI39_2548	1257	418	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2647154	2647354	-						7153173	ECIAI39_2549	201		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2647154	2647354	-	YP_002408499.1	WP_012602423.1		hypothetical protein		7153173	ECIAI39_2549	201	66	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2647327	2648160	-					xapA	7149992	ECIAI39_2550	834		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2647327	2648160	-	YP_002408500.1	WP_000193344.1		purine nucleoside phosphorylase	xapA	7149992	ECIAI39_2550	834	277	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2648389	2649318	-						7153172	ECIAI39_2551	930		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2648389	2649318	-	YP_002408501.1	WP_000013329.1		hypothetical protein		7153172	ECIAI39_2551	930	309	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2649373	2650686	-						7149993	ECIAI39_2552	1314		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2649373	2650686	-	YP_002408502.1	WP_012602424.1		putative nucleoside transporter		7149993	ECIAI39_2552	1314	437	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2650871	2651650	+					yfeN	7149994	ECIAI39_2553	780		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2650871	2651650	+	YP_002408503.1	WP_012602425.1		hypothetical protein	yfeN	7149994	ECIAI39_2553	780	259	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2651889	2652887	+					yfeH	7153867	ECIAI39_2554	999		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2651889	2652887	+	YP_002408504.1	WP_000765601.1		putative sodium/bile acid symporter family (mazG-like)	yfeH	7153867	ECIAI39_2554	999	332	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2652884	2653102	-					ypeB	7153865	ECIAI39_2555	219		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2652884	2653102	-	YP_002408505.1	WP_000410202.1		hypothetical protein	ypeB	7153865	ECIAI39_2555	219	72	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2653104	2655119	-					ligA	7154476	ECIAI39_2556	2016		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2653104	2655119	-	YP_002408506.1	WP_000443681.1		NAD-dependent DNA ligase LigA	ligA	7154476	ECIAI39_2556	2016	671	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2655190	2656176	-					zipA	7151935	ECIAI39_2557	987		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2655190	2656176	-	YP_002408507.1	WP_012602426.1		cell division protein ZipA	zipA	7151935	ECIAI39_2557	987	328	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2656418	2657179	+					cysZ	7154588	ECIAI39_2558	762		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2656418	2657179	+	YP_002408508.1	WP_000254835.1		putative sulfate transport protein CysZ	cysZ	7154588	ECIAI39_2558	762	253	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2657207	2657371	+						7151072	ECIAI39_2559	165		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2657207	2657371	+	YP_002408509.1	WP_012602427.1		hypothetical protein		7151072	ECIAI39_2559	165	54	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2657364	2658335	+					cysK	7149995	ECIAI39_2560	972		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2657364	2658335	+	YP_002408510.1	WP_000034403.1		cysteine synthase A	cysK	7149995	ECIAI39_2560	972	323	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2658719	2658976	+					ptsH	7151064	ECIAI39_2561	258		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2658719	2658976	+	YP_002408511.1	WP_000487600.1		PTS system phosphohistidinoprotein-hexose phosphotransferase subunit Hpr	ptsH	7151064	ECIAI39_2561	258	85	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2659021	2660748	+					ptsI	7152519	ECIAI39_2562	1728		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2659021	2660748	+	YP_002408512.1	WP_000623136.1		phosphoenolpyruvate-protein phosphotransferase	ptsI	7152519	ECIAI39_2562	1728	575	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2660789	2661298	+					crr	7152520	ECIAI39_2563	510		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2660789	2661298	+	YP_002408513.1	WP_000522247.1		PTS system glucose-specific transporter subunit	crr	7152520	ECIAI39_2563	510	169	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2661341	2662192	-					pdxK	7151001	ECIAI39_2564	852		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2661341	2662192	-	YP_002408514.1	WP_000096666.1		pyridoxal kinase	pdxK	7151001	ECIAI39_2564	852	283	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2662297	2662665	+					yfeK	7152359	ECIAI39_2565	369		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2662297	2662665	+	YP_002408515.1	WP_000719965.1		hypothetical protein	yfeK	7152359	ECIAI39_2565	369	122	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2662668	2663579	-					cysM	7153866	ECIAI39_2566	912		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2662668	2663579	-	YP_002408516.1	WP_012602428.1		cysteine synthase B	cysM	7153866	ECIAI39_2566	912	303	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2663713	2664810	-					cysA	7151065	ECIAI39_2567	1098		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2663713	2664810	-	YP_002408517.1	WP_000021031.1		sulfate/thiosulfate transporter subunit	cysA	7151065	ECIAI39_2567	1098	365	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2664800	2665675	-					cysW	7151055	ECIAI39_2568	876		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2664800	2665675	-	YP_002408518.1	WP_000852686.1		sulfate/thiosulfate transporter permease subunit	cysW	7151055	ECIAI39_2568	876	291	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2665675	2666508	-					cysU	7151071	ECIAI39_2569	834		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2665675	2666508	-	YP_002408519.1	WP_000458406.1		sulfate/thiosulfate transporter subunit	cysU	7151071	ECIAI39_2569	834	277	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2666508	2667524	-					cysP	7151070	ECIAI39_2570	1017		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2666508	2667524	-	YP_002408520.1	WP_000290239.1		thiosulfate transporter subunit	cysP	7151070	ECIAI39_2570	1017	338	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2667682	2668473	-					ucpA	7151067	ECIAI39_2571	792		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2667682	2668473	-	YP_002408521.1	WP_000517443.1		short chain dehydrogenase	ucpA	7151067	ECIAI39_2571	792	263	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2668602	2669459	-					yfeT	7153077	ECIAI39_2572	858		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2668602	2669459	-	YP_002408522.1	WP_000966460.1		putative DNA-binding transcriptional regulator	yfeT	7153077	ECIAI39_2572	858	285	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2669623	2670519	+					murQ	7153869	ECIAI39_2573	897		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2669623	2670519	+	YP_002408523.1	WP_001175613.1		N-acetylmuramic acid-6-phosphate etherase	murQ	7153869	ECIAI39_2573	897	298	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2670523	2671947	+					murP	7153870	ECIAI39_2574	1425		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2670523	2671947	+	YP_002408524.1	WP_001040493.1		PTS system N-acetylmuramic acid transporter subunits EIIBC	murP	7153870	ECIAI39_2574	1425	474	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2671952	2673250	+					murQ	7152153	ECIAI39_2575	1299		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2671952	2673250	+	YP_002408525.1	WP_012602429.1		hypothetical protein	murQ	7152153	ECIAI39_2575	1299	432	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2673308	2674207	-					yfeX	7152154	ECIAI39_2576	900		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2673308	2674207	-	YP_002408526.1	WP_000084590.1		hypothetical protein	yfeX	7152154	ECIAI39_2576	900	299	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2674303	2674878	-					yfeY	7153871	ECIAI39_2577	576		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2674303	2674878	-	YP_002408527.1	WP_000838933.1		hypothetical protein	yfeY	7153871	ECIAI39_2577	576	191	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2674939	2675388	-					yfeZ	7153872	ECIAI39_2578	450		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2674939	2675388	-	YP_002408528.1	WP_001296281.1		hypothetical protein	yfeZ	7153872	ECIAI39_2578	450	149	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2675375	2675800	-					ypeA	7153873	ECIAI39_2579	426		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2675375	2675800	-	YP_002408529.1	WP_000406000.1		acetyltransferase YpeA	ypeA	7153873	ECIAI39_2579	426	141	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2676014	2676883	+					amiA	7154475	ECIAI39_2580	870		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2676014	2676883	+	YP_002408530.1	WP_000102892.1		N-acetylmuramoyl-l-alanine amidase I	amiA	7154475	ECIAI39_2580	870	289	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2676887	2677786	+					hemF	7150725	ECIAI39_2581	900		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2676887	2677786	+	YP_002408531.1	WP_012602430.1		coproporphyrinogen III oxidase	hemF	7150725	ECIAI39_2581	900	299	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2677792	2678844	-					yfeG	7151629	ECIAI39_2582	1053		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2677792	2678844	-	YP_002408532.1	WP_000753715.1		transcriptional regulator EutR	yfeG	7151629	ECIAI39_2582	1053	350	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2678890	2679390	-					yffI	7153864	ECIAI39_2583	501		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2678890	2679390	-	YP_002408533.1	WP_001314924.1		putative ethanolaminosome structural protein with putative role in ethanolamine utilization	yffI	7153864	ECIAI39_2583	501	166	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2679403	2680062	-					eutL	7153876	ECIAI39_2584	660		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2679403	2680062	-	YP_002408534.1	WP_001111038.1		putative carboxysome-related structural protein with putative role in ethanolamine utilization	eutL	7153876	ECIAI39_2584	660	219	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2680072	2680959	-					eutC	7151251	ECIAI39_2585	888		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2680072	2680959	-	YP_002408535.1	WP_000372321.1		ethanolamine ammonia-lyase small subunit	eutC	7151251	ECIAI39_2585	888	295	
gene	pseudogene	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2680980	2682209	-					eutB	7151245	ECIAI39_2586	1230		pseudo
gene	pseudogene	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2682216	2682341	-					eutB	7151243	ECIAI39_2587	126		pseudo
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2682353	2683756	-					eutA	7151244	ECIAI39_2588	1404		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2682353	2683756	-	YP_002408536.1	WP_001097551.1		reactivating factor for ethanolamine ammonia lyase	eutA	7151244	ECIAI39_2588	1404	467	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2683753	2684979	-					eutH	7151242	ECIAI39_2589	1227		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2683753	2684979	-	YP_002408537.1	WP_000512385.1		putative ethanolamine transporter	eutH	7151242	ECIAI39_2589	1227	408	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2685096	2686283	-					eutG	7151248	ECIAI39_2590	1188		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2685096	2686283	-	YP_002408538.1	WP_012602431.1		putative alcohol dehydrogenase in ethanolamine utilization; ethanolaminosome	eutG	7151248	ECIAI39_2590	1188	395	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2686273	2687109	-					eutJ	7151247	ECIAI39_2591	837		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2686273	2687109	-	YP_002408539.1	WP_000929701.1		putative chaperonin, ethanolamine utilization protein	eutJ	7151247	ECIAI39_2591	837	278	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2687120	2688523	-					eutE	7151250	ECIAI39_2592	1404		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2687120	2688523	-	YP_002408540.1	WP_001075704.1		putative aldehyde dehydrogenase, ethanolamine utilization protein	eutE	7151250	ECIAI39_2592	1404	467	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2688535	2688822	-					cchB	7151246	ECIAI39_2593	288		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2688535	2688822	-	YP_002408541.1	WP_000762196.1		putative carboxysome-like ethanolaminosome structural protein, ethanolamine utilization protein	cchB	7151246	ECIAI39_2593	288	95	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2688928	2689221	-					cchA	7150910	ECIAI39_2594	294		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2688928	2689221	-	YP_002408542.1	WP_000387713.1		putative carboxysome-like ethanolaminosome structural protein, ethanolamine utilization protein	cchA	7150910	ECIAI39_2594	294	97	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2689260	2690276	-					eutD	7150909	ECIAI39_2595	1017		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2689260	2690276	-	YP_002408543.1	WP_000582987.1		phosphotransacetylase	eutD	7150909	ECIAI39_2595	1017	338	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2690273	2691076	-					eutT	7151249	ECIAI39_2596	804		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2690273	2691076	-	YP_002408544.1	WP_000651311.1		putative cobalamin adenosyltransferase in ethanolamine utilization	eutT	7151249	ECIAI39_2596	804	267	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2691073	2691774	-					eutQ	7151254	ECIAI39_2597	702		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2691073	2691774	-	YP_002408545.1	WP_000733879.1		hypothetical protein	eutQ	7151254	ECIAI39_2597	702	233	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2691749	2692228	-					eutP	7151253	ECIAI39_2598	480		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2691749	2692228	-	YP_002408546.1	WP_000820789.1		putative nucleoside triphosphate hydrolase domain-containing protein	eutP	7151253	ECIAI39_2598	480	159	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2692241	2692576	-					ypfE	7151252	ECIAI39_2599	336		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2692241	2692576	-	YP_002408547.1	WP_000356956.1		putative carboxysome-like ethanolaminosome structural protein with putative role in ethanol utilization	ypfE	7151252	ECIAI39_2599	336	111	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2692869	2695148	-					maeB	7154478	ECIAI39_2600	2280		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2692869	2695148	-	YP_002408548.1	WP_000342643.1		malic enzyme	maeB	7154478	ECIAI39_2600	2280	759	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2695437	2696387	+					talA	7151993	ECIAI39_2601	951		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2695437	2696387	+	YP_002408549.1	WP_001003734.1		transaldolase A	talA	7151993	ECIAI39_2601	951	316	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2696407	2698410	+					tktB	7152938	ECIAI39_2602	2004		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2696407	2698410	+	YP_002408550.1	WP_000087284.1		transketolase	tktB	7152938	ECIAI39_2602	2004	667	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2698487	2699530	-					ypfG	7152990	ECIAI39_2603	1044		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2698487	2699530	-	YP_002408551.1	WP_001270513.1		hypothetical protein	ypfG	7152990	ECIAI39_2603	1044	347	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2699656	2700231	-					yffH	7154479	ECIAI39_2604	576		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2699656	2700231	-	YP_002408552.1	WP_001330582.1		putative NUDIX hydrolase	yffH	7154479	ECIAI39_2604	576	191	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2700299	2702278	-					aegA	7153875	ECIAI39_2605	1980		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2700299	2702278	-	YP_002408553.1	WP_001078840.1		putative oxidoreductase	aegA	7153875	ECIAI39_2605	1980	659	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2702484	2704184	+					narQ	7150694	ECIAI39_2606	1701		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2702484	2704184	+	YP_002408554.1	WP_001350312.1		nitrate/nitrite sensor protein NarQ	narQ	7150694	ECIAI39_2606	1701	566	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2704348	2707461	+					acrD	7152195	ECIAI39_2607	3114		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2704348	2707461	+	YP_002408555.1	WP_001273136.1		aminoglycoside/multidrug efflux system	acrD	7152195	ECIAI39_2607	3114	1037	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2707548	2707727	+						7150675	ECIAI39_2608	180		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2707548	2707727	+	YP_002408556.1	WP_001308835.1		hypothetical protein		7150675	ECIAI39_2608	180	59	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2708000	2708356	+					yffB	7149996	ECIAI39_2609	357		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2708000	2708356	+	YP_002408557.1	WP_000258253.1		hypothetical protein	yffB	7149996	ECIAI39_2609	357	118	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2708360	2709487	+					dapE	7153874	ECIAI39_2610	1128		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2708360	2709487	+	YP_002408558.1	WP_001277791.1		succinyl-diaminopimelate desuccinylase	dapE	7153874	ECIAI39_2610	1128	375	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2709515	2709715	+					ypfN	7151087	ECIAI39_2611	201		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2709515	2709715	+	YP_002408559.1	WP_000383836.1		hypothetical protein	ypfN	7151087	ECIAI39_2611	201	66	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2709796	2710494	-					ypfH	7154483	ECIAI39_2612	699		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2709796	2710494	-	YP_002408560.1	WP_000679812.1		esterase YpfH	ypfH	7154483	ECIAI39_2612	699	232	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2710568	2712583	-					ypfI	7154480	ECIAI39_2613	2016		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2710568	2712583	-	YP_002408561.1	WP_000829362.1		putative hydrolase	ypfI	7154480	ECIAI39_2613	2016	671	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2712598	2713461	-					ypfJ	7154481	ECIAI39_2614	864		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2712598	2713461	-	YP_002408562.1	WP_001267498.1		hypothetical protein	ypfJ	7154481	ECIAI39_2614	864	287	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2713629	2714342	-					purC	7154482	ECIAI39_2615	714		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2713629	2714342	-	YP_002408563.1	WP_012602432.1		phosphoribosylaminoimidazole-succinocarboxamide synthase	purC	7154482	ECIAI39_2615	714	237	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2714555	2715589	-					nlpB	7152525	ECIAI39_2616	1035		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2714555	2715589	-	YP_002408564.1	WP_001296286.1		lipoprotein	nlpB	7152525	ECIAI39_2616	1035	344	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2715606	2716484	-					dapA	7152234	ECIAI39_2617	879		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2715606	2716484	-	YP_002408565.1	WP_001295469.1		4-hydroxy-tetrahydrodipicolinate synthase	dapA	7152234	ECIAI39_2617	879	292	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2716630	2717202	+					gcvR	7151084	ECIAI39_2618	573		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2716630	2717202	+	YP_002408566.1	WP_000176187.1		glycine cleavage system transcriptional repressor	gcvR	7151084	ECIAI39_2618	573	190	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2717202	2717672	+					bcp	7151499	ECIAI39_2619	471		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2717202	2717672	+	YP_002408567.1	WP_001068682.1		thioredoxin-dependent thiol peroxidase	bcp	7151499	ECIAI39_2619	471	156	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2717925	2718542	+					hyfA	7150841	ECIAI39_2620	618		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2717925	2718542	+	YP_002408568.1	WP_012602433.1		hydrogenase 4, 4Fe-4S subunit	hyfA	7150841	ECIAI39_2620	618	205	
